agent,episode,accuracy,stderr,n_seeds
A,0,0.161625,0.00394097069260861,5
A,1,0.166375,0.0022827477959687075,5
A,2,0.160625,0.003573994613873946,5
A,3,0.161375,0.004318383667531176,5
A,4,0.15887500000000002,0.003164747225293041,5
A,5,0.16675,0.003559757716474535,5
A,6,0.167875,0.0036529097990506128,5
A,7,0.166375,0.003521141505250818,5
A,8,0.163125,0.003791437722025772,5
A,9,0.16025,0.004232500738334256,5
A,10,0.16324999999999998,0.0020577597041442947,5
A,11,0.1645,0.002920830361386981,5
A,12,0.163,0.0054249135937819324,5
A,13,0.162875,0.005620136786591588,5
A,14,0.16525,0.004176758611650905,5
A,15,0.16387500000000002,0.005933880475708962,5
A,16,0.1665,0.0030336652748778957,5
A,17,0.1565,0.004273830249319688,5
A,18,0.159625,0.003007802353878991,5
A,19,0.16350000000000003,0.0045225131287813854,5
A,20,0.16237500000000002,0.0027627545131625416,5
A,21,0.1605,0.003954823004889095,5
A,22,0.16175,0.0033213325638966054,5
A,23,0.15925000000000003,0.004465142774872936,5
A,24,0.16112500000000002,0.0024717149916606493,5
A,25,0.158,0.005615964966058819,5
A,26,0.17087500000000003,0.0023268138086232847,5
A,27,0.164625,0.003850730450187341,5
A,28,0.15787500000000002,0.00447038868556192,5
A,29,0.15950000000000003,0.002587530193060556,5
B,0,0.39,0.006480137922914919,5
B,1,0.390875,0.0062079837709195064,5
B,2,0.385875,0.002833946012188662,5
B,3,0.3945,0.005044334693495269,5
B,4,0.38899999999999996,0.003593614127866261,5
B,5,0.3949999999999999,0.0024999999999999974,5
B,6,0.385625,0.0017566836653193968,5
B,7,0.382375,0.005059798662002272,5
B,8,0.387375,0.0034820970692960324,5
B,9,0.38987499999999997,0.0060834046799469145,5
B,10,0.38312499999999994,0.001688657010763291,5
B,11,0.393875,0.003303643821600621,5
B,12,0.382,0.003425547401511182,5
B,13,0.38312500000000005,0.003406106648359682,5
B,14,0.38687499999999997,0.003579455265819091,5
B,15,0.38375,0.0060563757726878175,5
B,16,0.394375,0.003093592167691146,5
B,17,0.389125,0.00408694568106796,5
B,18,0.39125,0.0037759518667483056,5
B,19,0.39275000000000004,0.0017070625354684574,5
B,20,0.393625,0.0029672693676173053,5
B,21,0.38225000000000003,0.0038961118438771685,5
B,22,0.384,0.0034323825544364996,5
B,23,0.38637499999999997,0.002960679820581756,5
B,24,0.392125,0.00500234320094093,5
B,25,0.38825,0.00508290640283687,5
B,26,0.382625,0.004336437189675419,5
B,27,0.388375,0.004350826070989281,5
B,28,0.38312500000000005,0.004714505541411525,5
B,29,0.38875000000000004,0.0055092252177597525,5
C,0,0.5574999999999999,0.003324859019567586,5
C,1,0.579875,0.00289395922569755,5
C,2,0.618625,0.002617548948921486,5
C,3,0.6485,0.0066602834023786065,5
C,4,0.6848750000000001,0.0043499281603263254,5
C,5,0.708875,0.0037572845912972755,5
C,6,0.729,0.003386554296036008,5
C,7,0.74825,0.0031954557577910415,5
C,8,0.7710000000000001,0.0027570931250141006,5
C,9,0.7882499999999999,0.0022132414012032385,5
C,10,0.794875,0.004732698754410639,5
C,11,0.8085000000000001,0.0037583240945932186,5
C,12,0.82775,0.0024968730444297725,5
C,13,0.82775,0.0015258194519667072,5
C,14,0.8317499999999999,0.0033969195604253003,5
C,15,0.841375,0.002029085385093488,5
C,16,0.848625,0.003195455757791059,5
C,17,0.8548749999999998,0.003597959491156067,5
C,18,0.857,0.0025647855660853877,5
C,19,0.8558749999999999,0.0038354839981415635,5
C,20,0.8607500000000001,0.003038811445285795,5
C,21,0.866625,0.003965673019803816,5
C,22,0.8628750000000001,0.0031659812854785002,5
C,23,0.8755000000000001,0.002095381826780028,5
C,24,0.8690000000000001,0.002648702512552133,5
C,25,0.86875,0.0033012781615610635,5
C,26,0.869,0.002504683113689233,5
C,27,0.87225,0.0022325713874364757,5
C,28,0.875875,0.002692582403567259,5
C,29,0.8768749999999998,0.0015934435979977548,5
D,0,0.45475000000000004,0.006503004113484785,5
D,1,0.44725000000000004,0.00535315327634096,5
D,2,0.44675000000000004,0.00374165738677394,5
D,3,0.44337499999999996,0.004548351349665064,5
D,4,0.4467499999999999,0.005001562255935637,5
D,5,0.44362499999999994,0.0062948391560070805,5
D,6,0.440125,0.0020482462010217375,5
D,7,0.4483750000000001,0.004439700158794513,5
D,8,0.45275,0.002840829544340879,5
D,9,0.448875,0.00393997937811862,5
D,10,0.449125,0.004474755579917183,5
D,11,0.44437499999999996,0.003708099243547831,5
D,12,0.44399999999999995,0.004500867971847202,5
D,13,0.44400000000000006,0.0038659167735480273,5
D,14,0.450375,0.005465088059674792,5
D,15,0.4483750000000001,0.004754110063934153,5
D,16,0.437375,0.003614208073700244,5
D,17,0.4455,0.002299796186621765,5
D,18,0.44800000000000006,0.0031523800532296184,5
D,19,0.441625,0.0038201766974840295,5
D,20,0.446,0.003500000000000008,5
D,21,0.44575,0.0042591812593502035,5
D,22,0.4495,0.006686039560158163,5
D,23,0.445875,0.004195421611709603,5
D,24,0.44800000000000006,0.0017831678272108864,5
D,25,0.441,0.006223694642252297,5
D,26,0.445375,0.004457262332418863,5
D,27,0.44775,0.0032751431266434725,5
D,28,0.438375,0.004209364560120684,5
D,29,0.44737499999999997,0.005132616291911957,5
