corruption,agent,regret,ci95_halfwidth,stderr,held_out,n_seeds
gaussian_noise,A,0.839609375,0.0031455078125000036,0.00169293725558252,False,8
gaussian_noise,B,0.5869140625,0.004004394531249955,0.002187848744521952,False,8
gaussian_noise,C,0.0895703125,0.0021884765625000066,0.0012843189236541866,False,8
gaussian_noise,D,0.5179296875,0.003671874999999991,0.001999178036311554,False,8
shot_noise,A,0.8365234375,0.0031450195312499596,0.0017443682299799496,False,8
shot_noise,B,0.5745312499999999,0.003086425781250013,0.0016312978920172722,False,8
shot_noise,C,0.108515625,0.0020512695312499968,0.001150853114270018,False,8
shot_noise,D,0.50640625,0.004492675781249955,0.0025118302678809475,False,8
defocus_blur,A,0.837109375,0.004297851562499955,0.0023136082648376227,False,8
defocus_blur,B,0.6430078125,0.0031645507812499973,0.0017125878781871075,False,8
defocus_blur,C,0.1496875,0.0032631835937499964,0.0018096883980990455,False,8
defocus_blur,D,0.5955859375000001,0.006329101562499995,0.0036397662901295454,False,8
motion_blur,A,0.8372265624999999,0.005040039062499946,0.002625503180408438,False,8
motion_blur,B,0.605703125,0.005195800781250037,0.0028761097916251634,False,8
motion_blur,C,0.111875,0.0032441406250000027,0.0018768591972837425,False,8
motion_blur,D,0.5378125,0.004141113281249942,0.0024018106079432104,False,8
frost,A,0.8401562499999999,0.0021689453125000036,0.0012088655950045577,False,8
frost,B,0.6111328125,0.0034003906249999716,0.0019461370527312201,False,8
frost,C,0.1421484375,0.003984863281250001,0.0021910346920492574,False,8
frost,D,0.555390625,0.004513671874999903,0.002433368465122692,False,8
fog,A,0.837890625,0.003614257812499966,0.001920713208657329,False,8
fog,B,0.5803515625,0.00500146484374997,0.0028759203083496055,False,8
fog,C,0.1032421875,0.0019140625000000008,0.001077587048760447,False,8
fog,D,0.5141015624999999,0.002832031249999978,0.0015280093943635935,False,8
brightness,A,0.8359375,0.004550781249999969,0.0024867113340572003,True,8
brightness,B,0.5965625,0.004883789062500032,0.0026265407893000885,True,8
brightness,C,0.11332031249999999,0.0016801757812500082,0.000963076524632963,True,8
brightness,D,0.5288671875,0.0042783203124999725,0.0024612917828882833,True,8
contrast,A,0.8366015625000001,0.003985351562500017,0.0021830611053336416,True,8
contrast,B,0.617265625,0.0031059570312499396,0.0017154493469798413,True,8
contrast,C,0.1159375,0.0030473632812500068,0.001610858799345421,True,8
contrast,D,0.5608984374999999,0.004512695312499981,0.0024064800881413,True,8
elastic_transform,A,0.8321484375,0.004532226562499964,0.002507270051480123,True,8
elastic_transform,B,0.6221484374999999,0.00341796875,0.001818759875862974,True,8
elastic_transform,C,0.149453125,0.0029687499999999784,0.0015711257444618201,True,8
elastic_transform,D,0.565078125,0.004336914062499975,0.0024081552637970796,True,8
pixelate,A,0.8323437499999999,0.002618164062499928,0.001427175657423724,True,8
pixelate,B,0.618515625,0.006172363281249982,0.003473708449283699,True,8
pixelate,C,0.1240234375,0.001484375000000003,0.0008298236873701153,True,8
pixelate,D,0.56640625,0.0051376953124999125,0.002791339044386096,True,8
jpeg_compression,A,0.8366015625000001,0.0023447265624999547,0.001280919899767568,True,8
jpeg_compression,B,0.6037109375,0.0042006835937499765,0.0022707665643171135,True,8
jpeg_compression,C,0.13667968749999998,0.0039262695312499984,0.002135819276433476,True,8
jpeg_compression,D,0.5391406249999999,0.004473632812499961,0.0024505075890917886,True,8
